timestamp,stage,status,source,headline,company,panic_score,action,details
2026-06-12T19:06:30,ingestion,fresh,x_rss:ETMarkets,"Bitcoin trades near $63,600 as sentiment nears 2022 bottom levels. Here is what experts say - The Economic Times",,,,
2026-06-12T19:06:30,analysis,failed,x_rss:ETMarkets,"Bitcoin trades near $63,600 as sentiment nears 2022 bottom levels. Here is what experts say - The Economic Times",,,,LLM analysis returned no result
2026-06-12T19:06:31,ingestion,fresh,x_rss:moneycontrolcom,STRAIT OF HORMUZ REOPENS? Trump Holds Final Call On Iran Deal | Breaking News | U.S. News (99Y565ZmIO) - Fathom Journal,,,,
2026-06-12T19:06:31,analysis,failed,x_rss:moneycontrolcom,STRAIT OF HORMUZ REOPENS? Trump Holds Final Call On Iran Deal | Breaking News | U.S. News (99Y565ZmIO) - Fathom Journal,,,,LLM analysis returned no result
2026-06-12T19:06:32,ingestion,fresh,x_rss:DeItaone,Goldman Sachs Sees NVIDIA at $285: Can the Stock Get There in June? - BeInCrypto,,,,
2026-06-12T19:06:32,analysis,failed,x_rss:DeItaone,Goldman Sachs Sees NVIDIA at $285: Can the Stock Get There in June? - BeInCrypto,,,,LLM analysis returned no result
2026-06-12T19:06:33,ingestion,fresh,x_rss:HindenburgRes,"Will agencies probe allegations of round-tripping by shell firms linked to Vinod Adani, asks Congress - The Hindu",,,,
2026-06-12T19:06:33,analysis,failed,x_rss:HindenburgRes,"Will agencies probe allegations of round-tripping by shell firms linked to Vinod Adani, asks Congress - The Hindu",,,,LLM analysis returned no result
2026-06-12T19:06:34,ingestion,fresh,x_rss:FinMinIndia,FM Nirmala Sitharaman Holds Pre-Budget 'Chintan Shivir' At Karnataka's Hampi - ETV Bharat,,,,
2026-06-12T19:06:34,analysis,failed,x_rss:FinMinIndia,FM Nirmala Sitharaman Holds Pre-Budget 'Chintan Shivir' At Karnataka's Hampi - ETV Bharat,,,,LLM analysis returned no result
2026-06-12T19:10:47,ingestion,fresh,finnhub,Jim Cramer's top 10 things to watch in the stock market Friday,,,,
2026-06-12T19:10:47,analysis,failed,finnhub,Jim Cramer's top 10 things to watch in the stock market Friday,,,,LLM analysis returned no result
2026-06-12T19:10:48,ingestion,fresh,finnhub,Former Tesla board member says SpaceX needs to achieve 2 of its 3 moonshots to keep its valuation,,,,
2026-06-12T19:10:48,analysis,failed,finnhub,Former Tesla board member says SpaceX needs to achieve 2 of its 3 moonshots to keep its valuation,,,,LLM analysis returned no result
2026-06-12T19:10:49,ingestion,fresh,finnhub,European stocks rally as oil falls on hopes for US-Iran deal - Reuters,,,,
2026-06-12T19:10:49,analysis,failed,finnhub,European stocks rally as oil falls on hopes for US-Iran deal - Reuters,,,,LLM analysis returned no result
2026-06-12T19:10:50,ingestion,fresh,finnhub,"UK economy began to feel fallout from Iran war in April, data shows - Reuters",,,,
2026-06-12T19:10:51,analysis,failed,finnhub,"UK economy began to feel fallout from Iran war in April, data shows - Reuters",,,,LLM analysis returned no result
2026-06-12T19:10:52,ingestion,fresh,finnhub,Taking Kharg Island would pose risks for US troops - Reuters,,,,
2026-06-12T19:10:52,analysis,failed,finnhub,Taking Kharg Island would pose risks for US troops - Reuters,,,,LLM analysis returned no result
2026-06-12T19:10:53,ingestion,fresh,newsapi,Broker’s Call: Adani Power (Neutral),,,,
2026-06-12T19:10:53,analysis,failed,newsapi,Broker’s Call: Adani Power (Neutral),,,,LLM analysis returned no result
2026-06-12T19:10:54,ingestion,fresh,newsapi,"AVAV Shareholder Alert: AeroVironment, Inc. Securities Class Action Lawsuit - Investors Should Contact SueWallSt",,,,
2026-06-12T19:10:54,analysis,failed,newsapi,"AVAV Shareholder Alert: AeroVironment, Inc. Securities Class Action Lawsuit - Investors Should Contact SueWallSt",,,,LLM analysis returned no result
2026-06-12T19:10:55,ingestion,fresh,newsapi,Global Drone Market Enters Hyper-Growth Phase as Defense Spending and Industrial Automation Soar,,,,
